Symbol,SECTOR
SYRMA.NS,CAPITAL_GOODS
TBOTEK.NS,CONSUMER_SERVICES
TVSMOTOR.NS,AUTOMOBILE_COMPONENTS
TVSSCS.NS,SERVICES
TANLA.NS,INFORMATION_TECHNOLOGY
TATACHEM.NS,CHEMICALS
TATACOMM.NS,TELECOMMUNICATION
TCS.NS,INFORMATION_TECHNOLOGY
TATACONSUM.NS,FAST_GOODS
TATAELXSI.NS,INFORMATION_TECHNOLOGY
TATAINVEST.NS,FINANCIAL_SERVICES
TATAMOTORS.NS,AUTOMOBILE_COMPONENTS
TATAPOWER.NS,POWER
TATASTEEL.NS,METALS_MINING
TATATECH.NS,INFORMATION_TECHNOLOGY
TTML.NS,TELECOMMUNICATION
TECHM.NS,INFORMATION_TECHNOLOGY
TECHNOE.NS,CONSTRUCTION
TEJASNET.NS,TELECOMMUNICATION
NIACL.NS,FINANCIAL_SERVICES
RAMCOCEM.NS,CONSTRUCTION_MATERIALS
THERMAX.NS,CAPITAL_GOODS
TIMKEN.NS,CAPITAL_GOODS
TITAGARH.NS,CAPITAL_GOODS
TITAN.NS,CONSUMER_DURABLES
TORNTPHARM.NS,HEALTHCARE
TORNTPOWER.NS,POWER
TRENT.NS,CONSUMER_SERVICES
TRIDENT.NS,TEXTILES
TRIVENI.NS,FAST_GOODS
TRITURBINE.NS,CAPITAL_GOODS
TIINDIA.NS,AUTOMOBILE_COMPONENTS
UCOBANK.NS,FINANCIAL_SERVICES
UNOMINDA.NS,AUTOMOBILE_COMPONENTS
UPL.NS,CHEMICALS
UTIAMC.NS,FINANCIAL_SERVICES
UJJIVANSFB.NS,FINANCIAL_SERVICES
ULTRACEMCO.NS,CONSTRUCTION_MATERIALS
UNIONBANK.NS,FINANCIAL_SERVICES
UBL.NS,FAST_GOODS
UNITDSPR.NS,FAST_GOODS
USHAMART.NS,CAPITAL_GOODS
VGUARD.NS,CONSUMER_DURABLES
VIPIND.NS,CONSUMER_DURABLES
DBREALTY.NS,REALTY
VTL.NS,TEXTILES
VARROC.NS,AUTOMOBILE_COMPONENTS
VBL.NS,FAST_GOODS
MANYAVAR.NS,CONSUMER_SERVICES
VEDL.NS,METALS_MINING
VIJAYA.NS,HEALTHCARE
VINATIORGA.NS,CHEMICALS
IDEA.NS,TELECOMMUNICATION
VOLTAS.NS,CONSUMER_DURABLES
WELCORP.NS,CAPITAL_GOODS
WELSPUNLIV.NS,TEXTILES
WESTLIFE.NS,CONSUMER_SERVICES
WHIRLPOOL.NS,CONSUMER_DURABLES
WIPRO.NS,INFORMATION_TECHNOLOGY
YESBANK.NS,FINANCIAL_SERVICES
ZFCVINDIA.NS,AUTOMOBILE_COMPONENTS
ZEEL.NS,MEDIA_PUBLICATION
ZENSARTECH.NS,INFORMATION_TECHNOLOGY
ZOMATO.NS,CONSUMER_SERVICES
ZYDUSLIFE.NS,HEALTHCARE
ECLERX.NS,SERVICES
